n,Experimental_ns,Theory,Scaled_Theory
10,1125.037670135498,5.301898110478399,2375.00085970577
100,9417.010005563498,21.207592441913597,9500.00343882308
1000,17667.014617472887,47.71708299430558,21375.007737351923
10000,34582.975786179304,84.83036976765439,38000.01375529232
100000,67040.96449539065,132.54745276195996,59375.02149264424
1000000,88334.025349468,190.8683319772223,85500.0309494077
10000000,116375.0421255827,259.7930074134415,116375.0421255827
